Date,Open,High,Low,Close,Adj_close,Volume,Likes,RetweetCount,QuoteCount,pos,neg,neu,compound
2019-12-31,156.77000427246094,157.77000427246094,156.4499969482422,157.6999969482422,154.07156372070312,18369400,133,21,4,4.001,0.518,18.481,7.3353
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,156.92434692382812,22622100,524,130,23,52.516,15.404,256.08,70.5335
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,154.9704132080078,21116200,371,218,19,26.006,13.252,154.744,31.361
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,155.37095642089844,20813700,275,94,10,32.429,8.887,162.682,46.5112
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,153.954345703125,21634100,435,160,24,34.983,11.354,209.667,42.4045
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,156.4065704345703,27746500,846,275,18,43.909,16.791,240.309,51.9697
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,158.36053466796875,21385000,1101,383,35,48.978,17.694,317.33,60.642
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,157.62782287597656,20725900,1310,391,33,41.284,12.702,237.009,51.795
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,159.523193359375,21626500,602,211,19,47.186,10.334,234.475,62.0051
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,158.39962768554688,23477400,694,252,24,46.762,18.625,250.613,47.2843
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,159.42547607421875,21417900,504,171,27,31.07,9.743,181.184,41.3005
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,162.3466796875,23865400,1146,355,40,67.729,20.753,357.519,72.803
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,163.2552947998047,34371700,1272,398,40,64.873,20.517,342.607,76.1345
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,162.66908264160156,29517200,426,160,15,36.898,12.662,223.443,40.1807
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,161.88748168945312,24138800,821,216,27,42.312,19.617,263.081,39.144400000000005
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,162.88401794433594,19680800,564,150,20,44.266,13.864,235.868,54.822
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,161.24269104003906,24918100,376,132,12,34.595,11.439,209.962,36.2519
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,158.54620361328125,32078100,607,203,19,34.119,15.199,237.683,40.0831
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,161.65304565429688,24899900,688,161,17,46.383,12.65,270.963,55.8493
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,164.17367553710938,34754500,2762,805,117,123.219,40.629,727.149,143.6074
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,168.80459594726562,51597500,3160,1049,214,120.048,36.753,644.205,154.3438
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,166.31326293945312,36142700,2933,884,87,55.78,17.064,380.154,78.3562
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,170.3677978515625,30107000,1123,318,18,69.862,17.991,308.146,91.3123
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,175.97572326660156,36433300,1147,312,39,77.305,25.514,403.179,89.4929
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,175.7607879638672,39186300,831,205,31,59.257,22.937,369.805,73.3391
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,179.40499877929688,27751400,964,208,24,48.532,16.183,262.28,59.4258
2020-02-07,182.8500061035156,185.6300048828125,182.47999572753903,183.88999938964844,179.65899658203125,33529100,654,290,32,55.793,16.384,263.827,71.9388
2020-02-10,183.5800018310547,188.83999633789065,183.25,188.6999969482422,184.3583068847656,35844300,1930,335,75,93.76,32.741,552.504,118.0682
2020-02-11,190.6499938964844,190.6999969482422,183.5,184.44000244140625,180.19631958007812,53159900,1852,469,95,99.796,44.779,595.423,109.7327
2020-02-12,185.5800018310547,185.8500061035156,181.8500061035156,184.7100067138672,180.4601287841797,47062900,1664,356,85,85.06,28.88,481.064,110.2202
2020-02-13,183.0800018310547,186.22999572753903,182.8699951171875,183.7100067138672,179.48312377929688,35295800,1074,286,66,78.039,40.478,419.486,68.0313
2020-02-14,183.25,185.41000366210935,182.6499938964844,185.3500061035156,181.0854034423828,23149500,1459,309,64,55.121,18.189,289.69,67.075
2020-02-18,185.61000061035156,187.6999969482422,185.5,187.22999572753903,182.92214965820312,27792200,613,132,34,52.484,23.016,305.501,55.5888
2020-02-19,188.05999755859375,188.17999267578125,186.47000122070312,187.27999877929688,183.47073364257812,29997500,1848,517,77,51.026,17.568,252.414,73.1261
2020-02-20,186.9499969482422,187.25,181.1000061035156,184.4199981689453,180.66893005371097,36862400,885,261,37,39.048,16.459,226.492,50.8966
2020-02-21,183.1699981689453,183.5,177.25,178.58999633789062,174.95748901367188,48572600,1388,353,59,49.527,23.257,272.215,49.2088
2020-02-24,167.77000427246094,174.5500030517578,163.22999572753906,170.88999938964844,167.41412353515625,68311100,1050,234,27,66.277,31.032,420.689,66.8896
2020-02-25,174.1999969482422,174.83999633789062,167.64999389648438,168.07000732421875,164.6514892578125,68073300,630,160,21,60.051,26.337,332.607,63.7959
2020-02-26,169.7100067138672,173.25999450683594,168.2100067138672,170.1699981689453,166.70877075195312,56206100,1463,424,72,62.458,48.983,461.561,34.4718
2020-02-27,163.32000732421875,167.02999877929688,157.97999572753906,158.17999267578125,154.96263122558594,93174900,2527,808,111,80.766,59.558,546.671,49.8421
2020-02-28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,158.7147216796875,97012700,2734,1582,99,79.58,39.296,464.123,75.6788
2020-03-02,165.30999755859375,172.9199981689453,162.30999755859375,172.7899932861328,169.27548217773438,71030800,640,160,27,55.197,22.058,296.757,61.3022
2020-03-03,173.8000030517578,175.0,162.25999450683594,164.50999450683594,161.1638641357422,71677000,536,127,13,53.773,26.978,325.248,47.3826
2020-03-04,168.49000549316406,170.6999969482422,165.6199951171875,170.5500030517578,167.08102416992188,49814400,400,126,20,53.604,15.342,261.049,63.0276
2020-03-05,166.0500030517578,170.8699951171875,165.69000244140625,166.27000427246094,162.88809204101562,47817300,789,183,26,47.81,22.114,290.073,42.7922
2020-03-06,162.61000061035156,163.11000061035156,156.0,161.57000732421875,158.28369140625,72821100,518,137,25,49.959,24.657,293.382,39.6011
2020-03-09,151.0,157.75,150.0,150.6199951171875,147.55642700195312,70419300,1119,188,23,62.558,26.959,333.478,64.0475
2020-03-10,158.16000366210938,161.02999877929688,152.5800018310547,160.9199981689453,157.6468963623047,65354400,534,124,19,49.408,16.855,286.743,59.412
2020-03-11,157.1300048828125,157.6999969482422,151.14999389648438,153.6300048828125,150.5052032470703,56371600,782,145,28,45.62,28.602,298.775,36.2552
2020-03-12,145.3000030517578,153.47000122070312,138.5800018310547,139.05999755859375,136.23153686523438,93226400,882,612,39,57.341,32.428,359.226,45.634
2020-03-13,147.5,161.91000366210938,140.72999572753906,158.8300018310547,155.5994110107422,92727400,2199,665,117,87.009,35.051,458.939,88.1894
2020-03-16,140.0,149.35000610351562,135.0,135.4199981689453,132.6655731201172,87905900,646,155,20,57.387,27.256,365.358,47.4111
2020-03-17,140.0,147.5,135.0,146.57000732421875,143.5887908935547,81059800,843,271,22,48.612,24.746,314.64,41.4576
2020-03-18,138.0,146.0,135.02000427246094,140.39999389648438,137.54429626464844,81593200,1008,202,23,51.473,23.416,283.1,52.9829
2020-03-19,142.77000427246094,150.14999389648438,139.0,142.7100067138672,139.80731201171875,85922700,685,171,31,61.938,21.093,303.968,65.9942
2020-03-20,146.0,147.10000610351562,135.86000061035156,137.35000610351562,134.5563201904297,84866200,1141,322,35,40.79,14.725,229.482,40.7689
2020-03-23,137.00999450683594,140.57000732421875,132.52000427246094,135.97999572753906,133.21417236328125,78975200,698,165,33,52.324,22.879,279.801,52.9093
2020-03-24,143.75,149.60000610351562,141.27000427246094,148.33999633789062,145.32278442382812,82516700,821,165,31,65.853,21.783,328.365,79.9114
2020-03-25,148.91000366210938,154.3300018310547,144.44000244140625,146.9199981689453,143.93165588378906,75638200,531,119,19,43.117,23.216,275.672,42.8711
2020-03-26,148.39999389648438,156.66000366210938,148.3699951171875,156.11000061035156,152.9347381591797,64568100,621,121,20,43.615,12.314,254.072,51.7061
2020-03-27,151.75,154.88999938964844,149.1999969482422,149.6999969482422,146.65512084960938,57042300,606,154,29,36.981,11.257,188.764,40.3602
2020-03-30,152.44000244140625,160.60000610351562,150.00999450683594,160.22999572753906,156.97091674804688,63420300,1426,315,47,88.878,28.025,503.092,99.4083
2020-03-31,159.39999389648438,164.77999877929688,156.55999755859375,157.7100067138672,154.50221252441406,77927200,1213,263,42,68.102,28.168,401.725,80.8436
2020-04-01,153.0,157.75,150.82000732421875,152.11000061035156,149.01609802246094,57969900,1214,266,43,63.969,24.792,353.24,65.7389
2020-04-02,151.86000061035156,155.47999572753906,150.36000061035156,155.25999450683594,152.10202026367188,49630700,778,109,23,49.284,27.393,284.325,43.5338
2020-04-03,155.10000610351562,157.3800048828125,152.19000244140625,153.8300018310547,150.7010955810547,41243300,720,156,30,46.447,25.995,259.559,46.8831
2020-04-06,160.32000732421875,166.5,157.5800018310547,165.27000427246094,161.90843200683594,67111700,1184,244,47,59.732,21.229,336.04,71.2038
2020-04-07,169.58999633789062,170.0,163.25999450683594,163.49000549316406,160.16464233398438,62769000,769,134,21,44.656,19.158,265.177,49.3498
2020-04-08,165.6699981689453,166.6699981689453,163.5,165.1300048828125,161.77127075195312,48318200,578,120,20,51.414,19.768,262.812,65.1888
2020-04-09,166.36000061035156,167.3699951171875,163.3300018310547,165.13999938964844,161.7810821533203,51385100,648,139,19,52.026,17.352,264.619,67.94500000000001
2020-04-13,164.35000610351562,165.57000732421875,162.3000030517578,165.50999450683594,162.1435546875,41905300,864,189,21,67.475,17.446,366.079,91.454
2020-04-14,169.0,173.75,168.0,173.6999969482422,170.1669464111328,52874300,1227,253,44,89.917,18.992,494.088,134.4109
2020-04-15,171.1999969482422,173.57000732421875,169.24000549316406,171.8800048828125,168.38400268554688,40940800,903,162,36,77.035,23.284,408.679,108.4243
2020-04-16,174.3000030517578,177.27999877929688,172.89999389648438,177.0399932861328,173.4390106201172,50479600,1425,210,45,90.369,26.997,506.637,120.7044
2020-04-17,179.5,180.0,175.8699951171875,178.60000610351562,174.96731567382812,52765600,2867,892,142,62.732,20.336,348.94,80.3523
2020-04-20,176.6300048828125,178.75,174.99000549316406,175.05999755859375,171.4993133544922,36669600,827,179,41,58.876,25.409,343.713,63.434
2020-04-21,173.5,173.6699981689453,166.11000061035156,167.82000732421875,164.40658569335938,56203700,1354,246,52,62.656,22.013,359.33,74.351
2020-04-22,171.38999938964844,174.0,170.82000732421875,173.52000427246094,169.99063110351562,34620200,1073,221,21,50.94,14.704,301.36,63.4174
2020-04-23,174.11000061035156,175.05999755859375,170.91000366210938,171.4199981689453,167.93336486816406,32790800,743,132,22,43.801,24.719,336.483,45.4564
